type	taxid
artificial_sequences	77614
artificial_sequences	77615
artificial_sequences	77616
artificial_sequences	77617
artificial_sequences	77618
artificial_sequences	77677
artificial_sequences	77809
artificial_sequences	77810
artificial_sequences	78121
artificial_sequences	78122
artificial_sequences	78246
artificial_sequences	78247
artificial_sequences	78248
artificial_sequences	78249
artificial_sequences	78250
artificial_sequences	78251
artificial_sequences	78252
artificial_sequences	78256
artificial_sequences	78353
artificial_sequences	78646
artificial_sequences	78681
artificial_sequences	78682
artificial_sequences	78683
artificial_sequences	78684
artificial_sequences	78685
artificial_sequences	78926
artificial_sequences	79019
artificial_sequences	79020
artificial_sequences	79669
artificial_sequences	80748
artificial_sequences	80749
artificial_sequences	80756
artificial_sequences	81004
artificial_sequences	81076
artificial_sequences	81480
artificial_sequences	81481
artificial_sequences	81482
artificial_sequences	81848
artificial_sequences	81948
artificial_sequences	81949
artificial_sequences	82118
artificial_sequences	82119
artificial_sequences	82120
artificial_sequences	82121
artificial_sequences	82122
artificial_sequences	82304
artificial_sequences	82305
artificial_sequences	82306
artificial_sequences	82307
artificial_sequences	82668
artificial_sequences	82679
artificial_sequences	82680
artificial_sequences	82681
artificial_sequences	82682
artificial_sequences	82683
artificial_sequences	82684
artificial_sequences	82685
artificial_sequences	82686
artificial_sequences	83290
artificial_sequences	83346
artificial_sequences	83347
artificial_sequences	83348
artificial_sequences	83349
artificial_sequences	83350
artificial_sequences	83351
artificial_sequences	83352
artificial_sequences	83353
artificial_sequences	83354
artificial_sequences	83355
artificial_sequences	83356
artificial_sequences	83357
artificial_sequences	83358
artificial_sequences	83359
artificial_sequences	83360
artificial_sequences	83361
artificial_sequences	83362
artificial_sequences	83363
artificial_sequences	83364
artificial_sequences	83365
artificial_sequences	83366
artificial_sequences	83367
artificial_sequences	83368
artificial_sequences	83369
artificial_sequences	83543
artificial_sequences	83610
artificial_sequences	83648
artificial_sequences	83672
artificial_sequences	83673
artificial_sequences	83674
artificial_sequences	83685
artificial_sequences	83809
artificial_sequences	83817
artificial_sequences	83831
artificial_sequences	83832
artificial_sequences	83833
artificial_sequences	83898
artificial_sequences	83899
artificial_sequences	84409
artificial_sequences	84410
artificial_sequences	84477
artificial_sequences	84478
artificial_sequences	84479
artificial_sequences	84536
artificial_sequences	84537
artificial_sequences	84538
artificial_sequences	84539
artificial_sequences	84540
artificial_sequences	84541
artificial_sequences	84682
artificial_sequences	84726
artificial_sequences	84727
artificial_sequences	84728
artificial_sequences	84729
artificial_sequences	84730
artificial_sequences	84731
artificial_sequences	84732
artificial_sequences	84733
artificial_sequences	84734
artificial_sequences	84735
artificial_sequences	84736
artificial_sequences	84737
artificial_sequences	85606
artificial_sequences	85619
artificial_sequences	85637
artificial_sequences	85704
artificial_sequences	85834
artificial_sequences	86128
artificial_sequences	86129
artificial_sequences	86130
artificial_sequences	86251
artificial_sequences	86980
artificial_sequences	86981
artificial_sequences	87163
artificial_sequences	88230
artificial_sequences	88231
artificial_sequences	88232
artificial_sequences	88282
artificial_sequences	88283
artificial_sequences	88284
artificial_sequences	88432
artificial_sequences	88575
artificial_sequences	88586
artificial_sequences	88758
artificial_sequences	88871
artificial_sequences	88872
artificial_sequences	88873
artificial_sequences	89015
artificial_sequences	89016
artificial_sequences	89017
artificial_sequences	89144
artificial_sequences	89145
artificial_sequences	89146
artificial_sequences	89245
artificial_sequences	89331
artificial_sequences	89332
artificial_sequences	89333
artificial_sequences	89341
artificial_sequences	89525
artificial_sequences	89960
artificial_sequences	89961
artificial_sequences	89962
artificial_sequences	90106
artificial_sequences	90107
artificial_sequences	90108
artificial_sequences	90109
artificial_sequences	90110
artificial_sequences	90111
artificial_sequences	90112
artificial_sequences	90113
artificial_sequences	90114
artificial_sequences	90115
artificial_sequences	90116
artificial_sequences	90117
artificial_sequences	90118
artificial_sequences	90119
